date,total_renewable_energy_consumption,crude_oil_domestic_first_purchase_price,coal_consumption,total_energy_co2_emissions
1/1/1973,403.981,3.19,50578.608,454.077
2/1/1973,360.9,3.21,45564.808,415.098
3/1/1973,400.161,3.23,45402.955,407.423
4/1/1973,380.47,3.26,43326.498,368.205
5/1/1973,392.141,3.28,43999.759,376.028
6/1/1973,377.232,3.3,45542.675,359.983
7/1/1973,367.325,3.32,48160.561,369.765
8/1/1973,353.757,3.34,49255.285,385.331
9/1/1973,307.006,3.36,45874.659,361.336
10/1/1973,323.453,3.39,46978.211,385.389
11/1/1973,337.817,3.41,47213.008,408.419
12/1/1973,406.694,3.43,50686.576,429.789
1/1/1974,437.467,6.95,50528.945,429.201
2/1/1974,399.942,6.87,45704.417,390.726
3/1/1974,423.474,6.77,46337.743,392.583
4/1/1974,422.323,6.77,43875.422,361.088
5/1/1974,427.657,6.87,45384.372,360.241
6/1/1974,409.281,6.85,44733.986,346.979
7/1/1974,409.719,6.8,48967.579,367.633
8/1/1974,386.101,6.71,49061.108,370.067
9/1/1974,353.91,6.7,44340.435,349.995
10/1/1974,343.703,6.97,46379.019,381.654
11/1/1974,351.633,6.97,45068.598,385.794
12/1/1974,376.642,7.09,48020.176,424.995
1/1/1975,392.756,7.61,50282.501,438.55
2/1/1975,368.278,7.47,46157.315,384.031
3/1/1975,423.49,7.57,47632.104,393.659
4/1/1975,405.368,7.55,44274.039,357.98
5/1/1975,421.283,7.52,43394.793,336.301
6/1/1975,411.622,7.49,45407.798,333.373
7/1/1975,398.459,7.75,48062.815,346.887
8/1/1975,368.23,7.73,49607.932,353.319
9/1/1975,341.957,7.75,44581.458,336.736
10/1/1975,368.786,7.83,45360.755,360.533
11/1/1975,383.196,7.8,46393.362,358.024
12/1/1975,403.696,7.93,51485.56,428.516
1/1/1976,421.775,8.63,53398.648,452.381
2/1/1976,396.173,7.91,47273.411,394.215
3/1/1976,427.044,7.78,49050.888,395.74
4/1/1976,396.931,7.86,46849.91,364.365
5/1/1976,415.728,7.89,47117.843,356.969
6/1/1976,411.555,8,48840.782,357.673
7/1/1976,421.425,8.04,52054.088,369.419
8/1/1976,398.129,8.03,52443.319,366.963
9/1/1976,356.984,8.39,48091.319,353.909
10/1/1976,369.186,8.46,49756.081,384.212
11/1/1976,351.386,8.61,52281.559,419.899
12/1/1976,360.834,8.62,56632.126,478.786
1/1/1977,378.521,8.5,56880.004,489.057
2/1/1977,304.328,8.56,50381.088,418.716
3/1/1977,368.966,8.45,50717.279,407.834
4/1/1977,351.301,8.41,46765.909,369.907
5/1/1977,356.923,8.49,49557.007,370.199
6/1/1977,336.485,8.44,52194.032,376.595
7/1/1977,336.903,8.47,56461.666,387.715
8/1/1977,335.881,8.45,55288.685,391.245
9/1/1977,328.075,8.43,51005.399,377.073
10/1/1977,341.368,8.72,50640.183,387.88
11/1/1977,370.168,8.69,51177.702,399.895
12/1/1977,400.048,8.81,54222.009,458.996
1/1/1978,438.983,8.71,54312.646,469.707
